item.golden_apple.name item.minecraft.golden_apple
item.carrotOnAStick.name item.minecraft.carrot_on_a_stick
item.charcoal.name item.minecraft.charcoal
item.golden_carrot.name item.minecraft.golden_carrot
item.chainmail_chestplate.name item.minecraft.chainmail_chestplate
item.carrot.name item.minecraft.carrot
item.iron_chestplate.name item.minecraft.iron_chestplate
item.golden_chestplate.name item.minecraft.golden_chestplate
item.diamond_chestplate.name item.minecraft.diamond_chestplate
item.cauldron.name item.minecraft.cauldron
item.coal.name item.minecraft.coal
item.clock.name item.minecraft.clock
item.lodestonecompass.name item.minecraft.lodestone_compass
item.cooked_beef.name item.minecraft.cooked_beef
item.leather_chestplate.name item.minecraft.leather_chestplate
item.chorus_fruit.name item.minecraft.chorus_fruit
item.cooked_porkchop.name item.minecraft.cooked_porkchop
item.compass.name item.minecraft.compass
item.chicken.name item.minecraft.chicken
item.clay_ball.name item.minecraft.clay_ball
item.cooked_chicken.name item.minecraft.cooked_chicken
item.chorus_fruit_popped.name item.minecraft.popped_chorus_fruit
item.cookie.name item.minecraft.cookie
item.crossbow.name item.minecraft.crossbow
item.dye.black_new.name item.minecraft.black_dye
item.dye.black.name item.minecraft.ink_sac
item.diamond.name item.minecraft.diamond
item.dyed item.dyed
item.dye.blue.name item.minecraft.lapis_lazuli
item.dragon_breath.name item.minecraft.dragon_breath
item.dye.brown_new.name item.minecraft.brown_dye
item.dye.blue_new.name item.minecraft.blue_dye
item.dye.gray.name item.minecraft.gray_dye
item.dye.brown.name item.minecraft.cocoa_beans
item.dye.yellow.name item.minecraft.yellow_dye
item.dye.purple.name item.minecraft.purple_dye
item.dye.orange.name item.minecraft.orange_dye
item.dye.red.name item.minecraft.red_dye
item.dye.cyan.name item.minecraft.cyan_dye
item.dye.magenta.name item.minecraft.magenta_dye
item.dye.green.name item.minecraft.green_dye
item.dye.lime.name item.minecraft.lime_dye
item.glow_ink_sac.name item.minecraft.glow_ink_sac
item.dye.pink.name item.minecraft.pink_dye
item.glow_frame.name item.minecraft.glow_item_frame
item.egg.name item.minecraft.egg
item.dye.white_new.name item.minecraft.white_dye
item.dye.lightBlue.name item.minecraft.light_blue_dye
item.ender_pearl.name item.minecraft.ender_pearl
item.enchanted_book.name item.minecraft.enchanted_book
item.emerald.name item.minecraft.emerald
item.dye.white.name item.minecraft.bone_meal
item.end_crystal.name item.minecraft.end_crystal
item.elytra.name item.minecraft.elytra
item.emptyPotion.name item.minecraft.potion.effect.water
item.emptyMap.name item.minecraft.map
item.ender_eye.name item.minecraft.ender_eye
item.fireworks.flight item.minecraft.firework_rocket.flight
item.dye.silver.name item.minecraft.light_gray_dye
item.fermented_spider_eye.name item.minecraft.fermented_spider_eye
item.feather.name item.minecraft.feather
item.experience_bottle.name item.minecraft.experience_bottle
item.fireworks.name item.minecraft.firework_rocket
item.fireworksCharge.brown item.minecraft.firework_star.brown
item.fireworksCharge.cyan item.minecraft.firework_star.cyan
item.fireworksCharge.blue item.minecraft.firework_star.blue
item.fireball.name item.minecraft.fire_charge
item.fireworksCharge.black item.minecraft.firework_star.black
item.fireworksCharge.customColor item.minecraft.firework_star.custom_color
item.fireworksCharge.gray item.minecraft.firework_star.gray
item.fireworksCharge.silver item.minecraft.firework_star.light_gray
item.fireworksCharge.flicker item.minecraft.firework_star.flicker
item.fireworksCharge.lightBlue item.minecraft.firework_star.light_blue
item.fireworksCharge.purple item.minecraft.firework_star.purple
item.fireworksCharge.green item.minecraft.firework_star.green
item.fireworksCharge.lime item.minecraft.firework_star.lime
item.fireworksCharge.name item.minecraft.firework_star
item.fireworksCharge.trail item.minecraft.firework_star.trail
item.fireworksCharge.type item.minecraft.firework_star.shape
item.fireworksCharge.magenta item.minecraft.firework_star.magenta
item.fireworksCharge.red item.minecraft.firework_star.red
item.fireworksCharge.type.2 item.minecraft.firework_star.shape.star
item.fireworksCharge.orange item.minecraft.firework_star.orange
item.fireworksCharge.type.3 item.minecraft.firework_star.shape.creeper
item.fireworksCharge.type.0 item.minecraft.firework_star.shape.small_ball
item.fireworksCharge.pink item.minecraft.firework_star.pink
item.salmon.name item.minecraft.salmon
item.fireworksCharge.yellow item.minecraft.firework_star.yellow
item.cooked_fish.name item.minecraft.cooked_cod
item.fireworksCharge.white item.minecraft.firework_star.white
item.clownfish.name item.minecraft.tropical_fish
item.fish.name item.minecraft.cod
item.glass_bottle.name item.minecraft.glass_bottle
item.fireworksCharge.type.4 item.minecraft.firework_star.shape.burst
item.fireworksCharge.type.1 item.minecraft.firework_star.shape.large_ball
item.ghast_tear.name item.minecraft.ghast_tear
item.pufferfish.name item.minecraft.pufferfish
item.diamond_axe.name item.minecraft.diamond_axe
item.flint_and_steel.name item.minecraft.flint_and_steel
item.golden_axe.name item.minecraft.golden_axe
item.stone_axe.name item.minecraft.stone_axe
item.flint.name item.minecraft.flint
item.iron_nugget.name item.minecraft.iron_nugget
item.iron_hoe.name item.minecraft.iron_hoe
item.leather_helmet.name item.minecraft.leather_helmet
item.cooked_salmon.name item.minecraft.cooked_salmon
item.flower_pot.name item.minecraft.flower_pot
item.chainmail_helmet.name item.minecraft.chainmail_helmet
item.fishing_rod.name item.minecraft.fishing_rod
item.stone_hoe.name item.minecraft.stone_hoe
item.wooden_axe.name item.minecraft.wooden_axe
item.golden_hoe.name item.minecraft.golden_hoe
item.diamond_helmet.name item.minecraft.diamond_helmet
item.honeycomb.name item.minecraft.honeycomb
item.gold_nugget.name item.minecraft.gold_nugget
item.horsearmordiamond.name item.minecraft.diamond_horse_armor
item.golden_helmet.name item.minecraft.golden_helmet
item.frame.name item.minecraft.item_frame
item.gold_ingot.name item.minecraft.gold_ingot
item.netherite_hoe.name item.minecraft.netherite_hoe
item.iron_axe.name item.minecraft.iron_axe
item.netherite_axe.name item.minecraft.netherite_axe
item.netherite_helmet.name item.minecraft.netherite_helmet
item.diamond_hoe.name item.minecraft.diamond_hoe
item.horsearmoriron.name item.minecraft.iron_horse_armor
item.netherite_chestplate.name item.minecraft.netherite_chestplate
item.netherite_sword.name item.minecraft.netherite_sword
item.iron_helmet.name item.minecraft.iron_helmet
item.lead.name item.minecraft.lead
item.wooden_hoe.name item.minecraft.wooden_hoe
item.netherite_boots.name item.minecraft.netherite_boots
item.iron_leggings.name item.minecraft.iron_leggings
item.iron_ingot.name item.minecraft.iron_ingot
item.honey_bottle.name item.minecraft.honey_bottle
item.horsearmorgold.name item.minecraft.golden_horse_armor
item.magma_cream.name item.minecraft.magma_cream
item.horsearmorleather.name item.minecraft.leather_horse_armor
item.netherite_shovel.name item.minecraft.netherite_shovel
item.netherite_scrap.name item.minecraft.netherite_scrap
item.golden_leggings.name item.minecraft.golden_leggings
item.leather_leggings.name item.minecraft.leather_leggings
item.melon.name item.minecraft.melon_slice
item.nautilus_shell.name item.minecraft.nautilus_shell
item.netherite_leggings.name item.minecraft.netherite_leggings
item.leather.name item.minecraft.leather
item.chainmail_leggings.name item.minecraft.chainmail_leggings
item.heart_of_the_sea.name item.minecraft.heart_of_the_sea
item.minecart.name item.minecraft.minecart
item.netherite_pickaxe.name item.minecraft.netherite_pickaxe
item.netherite_ingot.name item.minecraft.netherite_ingot
item.diamond_leggings.name item.minecraft.diamond_leggings
item.milk.name item.minecraft.milk_bucket
item.command_block_minecart.name item.minecraft.command_block_minecart
item.hopper_minecart.name item.minecraft.hopper_minecart
item.tnt_minecart.name item.minecraft.tnt_minecart
item.minecartFurnace.name item.minecraft.furnace_minecart
item.spawn_egg.entity.cod.name item.minecraft.cod_spawn_egg
item.chest_minecart.name item.minecraft.chest_minecart
item.map.name item.minecraft.filled_map
item.spawn_egg.entity.cow.name item.minecraft.cow_spawn_egg
item.spawn_egg.entity.pig.name item.minecraft.pig_spawn_egg
item.spawn_egg.entity.axolotl.name item.minecraft.axolotl_spawn_egg
item.spawn_egg.entity.bee.name item.minecraft.bee_spawn_egg
item.spawn_egg.entity.pufferfish.name item.minecraft.pufferfish_spawn_egg
item.spawn_egg.entity.salmon.name item.minecraft.salmon_spawn_egg
item.spawn_egg.entity.goat.name item.minecraft.goat_spawn_egg
item.spawn_egg.entity.chicken.name item.minecraft.chicken_spawn_egg
item.spawn_egg.entity.wolf.name item.minecraft.wolf_spawn_egg
item.spawn_egg.entity.villager.name item.minecraft.villager_spawn_egg
item.spawn_egg.entity.tropicalfish.name item.minecraft.tropical_fish_spawn_egg
item.spawn_egg.entity.sheep.name item.minecraft.sheep_spawn_egg
item.spawn_egg.entity.mooshroom.name item.minecraft.mooshroom_spawn_egg
item.spawn_egg.entity.cat.name item.minecraft.cat_spawn_egg
item.spawn_egg.entity.bat.name item.minecraft.bat_spawn_egg
item.spawn_egg.entity.ravager.name item.minecraft.ravager_spawn_egg
item.spawn_egg.entity.vindicator.name item.minecraft.vindicator_spawn_egg
item.spawn_egg.entity.villager_v2.name item.minecraft.villager_spawn_egg
item.spawn_egg.entity.rabbit.name item.minecraft.rabbit_spawn_egg
item.spawn_egg.entity.mule.name item.minecraft.mule_spawn_egg
item.spawn_egg.entity.hoglin.name item.minecraft.hoglin_spawn_egg
item.spawn_egg.entity.donkey.name item.minecraft.donkey_spawn_egg
item.spawn_egg.entity.llama.name item.minecraft.llama_spawn_egg
item.spawn_egg.entity.squid.name item.minecraft.squid_spawn_egg
item.spawn_egg.entity.ocelot.name item.minecraft.ocelot_spawn_egg
item.spawn_egg.entity.glow_squid.name item.minecraft.glow_squid_spawn_egg
item.spawn_egg.entity.horse.name item.minecraft.horse_spawn_egg
item.spawn_egg.entity.polar_bear.name item.minecraft.polar_bear_spawn_egg
item.spawn_egg.entity.drowned.name item.minecraft.drowned_spawn_egg
item.spawn_egg.entity.skeleton_horse.name item.minecraft.skeleton_horse_spawn_egg
item.spawn_egg.entity.enderman.name item.minecraft.enderman_spawn_egg
item.spawn_egg.entity.skeleton.name item.minecraft.skeleton_spawn_egg
item.spawn_egg.entity.strider.name item.minecraft.strider_spawn_egg
item.spawn_egg.entity.parrot.name item.minecraft.parrot_spawn_egg
item.spawn_egg.entity.wither_skeleton.name item.minecraft.wither_skeleton_spawn_egg
item.spawn_egg.entity.zombie_horse.name item.minecraft.zombie_horse_spawn_egg
item.spawn_egg.entity.spider.name item.minecraft.spider_spawn_egg
item.spawn_egg.entity.shulker.name item.minecraft.shulker_spawn_egg
item.spawn_egg.entity.ghast.name item.minecraft.ghast_spawn_egg
item.spawn_egg.entity.zombie_villager_v2.name item.minecraft.zombie_villager_spawn_egg
item.spawn_egg.entity.guardian.name item.minecraft.guardian_spawn_egg
item.spawn_egg.entity.stray.name item.minecraft.stray_spawn_egg
item.spawn_egg.entity.cave_spider.name item.minecraft.cave_spider_spawn_egg
item.spawn_egg.entity.endermite.name item.minecraft.endermite_spawn_egg
item.spawn_egg.entity.magma_cube.name item.minecraft.magma_cube_spawn_egg
item.spawn_egg.entity.zombie_villager.name item.minecraft.zombie_villager_spawn_egg
item.spawn_egg.entity.zombie.name item.minecraft.zombie_spawn_egg
item.spawn_egg.entity.evocation_illager.name item.minecraft.evoker_spawn_egg
item.spawn_egg.entity.witch.name item.minecraft.witch_spawn_egg
item.spawn_egg.entity.turtle.name item.minecraft.turtle_spawn_egg
item.spawn_egg.entity.creeper.name item.minecraft.creeper_spawn_egg
item.spawn_egg.entity.vex.name item.minecraft.vex_spawn_egg
item.spawn_egg.entity.blaze.name item.minecraft.blaze_spawn_egg
item.spawn_egg.entity.husk.name item.minecraft.husk_spawn_egg
item.spawn_egg.entity.silverfish.name item.minecraft.silverfish_spawn_egg
item.spawn_egg.entity.slime.name item.minecraft.slime_spawn_egg
item.spawn_egg.entity.phantom.name item.minecraft.phantom_spawn_egg
item.spawn_egg.entity.zombie_pigman.name item.minecraft.zombified_piglin_spawn_egg
item.spawn_egg.entity.dolphin.name item.minecraft.dolphin_spawn_egg
item.spawn_egg.entity.wandering_trader.name item.minecraft.wandering_trader_spawn_egg
item.spawn_egg.entity.elder_guardian.name item.minecraft.elder_guardian_spawn_egg
item.spawn_egg.entity.panda.name item.minecraft.panda_spawn_egg
item.spawn_egg.entity.pillager.name item.minecraft.pillager_spawn_egg
item.trident.name item.minecraft.trident
item.spawn_egg.entity.fox.name item.minecraft.fox_spawn_egg
item.spawn_egg.entity.piglin_brute.name item.minecraft.piglin_brute_spawn_egg
item.mushroom_stew.name item.minecraft.mushroom_stew
item.painting.name item.minecraft.painting
item.spawn_egg.entity.zoglin.name item.minecraft.zoglin_spawn_egg
item.muttonCooked.name item.minecraft.cooked_mutton
item.spawn_egg.entity.piglin.name item.minecraft.piglin_spawn_egg
item.muttonRaw.name item.minecraft.mutton
item.paper.name item.minecraft.paper
item.name_tag.name item.minecraft.name_tag
item.netherbrick.name item.minecraft.nether_brick
item.quartz.name item.minecraft.quartz
item.baked_potato.name item.minecraft.baked_potato
item.diamond_pickaxe.name item.minecraft.diamond_pickaxe
item.poisonous_potato.name item.minecraft.poisonous_potato
item.porkchop.name item.minecraft.porkchop
item.netherStar.name item.minecraft.nether_star
item.nether_wart.name item.minecraft.nether_wart
item.golden_pickaxe.name item.minecraft.golden_pickaxe
item.prismarine_crystals.name item.minecraft.prismarine_crystals
item.porkchop_cooked.name item.minecraft.cooked_porkchop
item.pumpkin_pie.name item.minecraft.pumpkin_pie
item.iron_pickaxe.name item.minecraft.iron_pickaxe
item.wooden_pickaxe.name item.minecraft.wooden_pickaxe
item.rabbit_hide.name item.minecraft.rabbit_hide
item.prismarine_shard.name item.minecraft.prismarine_shard
item.potato.name item.minecraft.potato
item.rabbit_foot.name item.minecraft.rabbit_foot
item.stone_pickaxe.name item.minecraft.stone_pickaxe
item.record_13.desc item.minecraft.music_disc_13.desc
item.potion.name item.minecraft.potion
item.cooked_rabbit.name item.minecraft.cooked_rabbit
item.record_11.desc item.minecraft.music_disc_11.desc
item.record_blocks.desc item.minecraft.music_disc_blocks.desc
item.record.name item.minecraft.music_disc_11 item.minecraft.music_disc_13 item.minecraft.music_disc_blocks item.minecraft.music_disc_cat item.minecraft.music_disc_chirp item.minecraft.music_disc_far item.minecraft.music_disc_mall item.minecraft.music_disc_mellohi item.minecraft.music_disc_pigstep item.minecraft.music_disc_stal item.minecraft.music_disc_strad item.minecraft.music_disc_wait item.minecraft.music_disc_ward
item.record_mall.desc item.minecraft.music_disc_mall.desc
item.record_cat.desc item.minecraft.music_disc_cat.desc
item.rabbit_stew.name item.minecraft.rabbit_stew
item.rabbit.name item.minecraft.rabbit
item.record_wait.desc item.minecraft.music_disc_wait.desc
item.record_mellohi.desc item.minecraft.music_disc_mellohi.desc
item.record_far.desc item.minecraft.music_disc_far.desc
item.redstone.name item.minecraft.redstone
item.record_chirp.desc item.minecraft.music_disc_chirp.desc
item.record_strad.desc item.minecraft.music_disc_strad.desc
item.record_stal.desc item.minecraft.music_disc_stal.desc
item.record_pigstep.desc item.minecraft.music_disc_pigstep.desc
item.record_ward.desc item.minecraft.music_disc_ward.desc
item.dried_kelp.name item.minecraft.dried_kelp
item.rotten_flesh.name item.minecraft.rotten_flesh
item.wheat_seeds.name item.minecraft.wheat_seeds
item.pumpkin_seeds.name item.minecraft.pumpkin_seeds
item.melon_seeds.name item.minecraft.melon_seeds
item.saddle.name item.minecraft.saddle
item.wooden_shovel.name item.minecraft.wooden_shovel
item.beetroot_seeds.name item.minecraft.beetroot_seeds
item.shears.name item.minecraft.shears
item.iron_shovel.name item.minecraft.iron_shovel
item.diamond_shovel.name item.minecraft.diamond_shovel
item.golden_shovel.name item.minecraft.golden_shovel
item.stone_shovel.name item.minecraft.stone_shovel
item.sugar.name item.minecraft.sugar
item.snowball.name item.minecraft.snowball
item.slime_ball.name item.minecraft.slime_ball
item.stick.name item.minecraft.stick
item.diamond_sword.name item.minecraft.diamond_sword
item.speckled_melon.name item.minecraft.glistering_melon_slice
item.spider_eye.name item.minecraft.spider_eye
item.gunpowder.name item.minecraft.gunpowder
item.golden_sword.name item.minecraft.golden_sword
item.iron_sword.name item.minecraft.iron_sword
item.writable_book.name item.minecraft.writable_book
item.stone_sword.name item.minecraft.stone_sword
item.unbreakable item.unbreakable
item.sweet_berries.name item.minecraft.sweet_berries
item.wooden_sword.name item.minecraft.wooden_sword
item.written_book.name item.minecraft.written_book
item.string.name item.minecraft.string
item.shield.name item.minecraft.shield
item.turtle_helmet.name item.minecraft.turtle_helmet
item.turtle_shell_piece.name item.minecraft.scute
item.suspicious_stew.name item.minecraft.suspicious_stew
item.banner_pattern.skull item.minecraft.skull_banner_pattern.desc
item.banner_pattern.creeper item.minecraft.creeper_banner_pattern.desc
item.wheat.name item.minecraft.wheat
item.banner_pattern.name item.minecraft.creeper_banner_pattern item.minecraft.flower_banner_pattern item.minecraft.globe_banner_pattern item.minecraft.mojang_banner_pattern item.minecraft.piglin_banner_pattern item.minecraft.skull_banner_pattern
item.banner_pattern.piglin item.minecraft.piglin_banner_pattern.desc
item.phantom_membrane.name item.minecraft.phantom_membrane
item.shulker_shell.name item.minecraft.shulker_shell
item.banner_pattern.flower item.minecraft.flower_banner_pattern.desc
item.banner_pattern.thing item.minecraft.mojang_banner_pattern.desc
item.glow_berries.name item.minecraft.glow_berries
item.glowstone_dust.name item.minecraft.glowstone_dust
item.raw_iron.name item.minecraft.raw_iron
item.raw_copper.name item.minecraft.raw_copper
item.totem.name item.minecraft.totem_of_undying
item.spyglass.name item.minecraft.spyglass
item.copper_ingot.name item.minecraft.copper_ingot
item.bucketPowderSnow.name item.minecraft.powder_snow_bucket
item.amethyst_shard.name item.minecraft.amethyst_shard
item.raw_gold.name item.minecraft.raw_gold
item.compound.charcoal.name item.minecraft.charcoal
